编号,租金,租赁方式,地铁距离,房屋类型,房屋面积,朝向,楼层,车位,用电,采暖,电梯,用水,燃气,区域
BJ2897686401208287232,6500,整租,49m,1室0厅1卫,34.02,北,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2872506298522673152,7000,整租,125m,1室1厅1卫,37.1,南,低楼层,免费使用,民电,集中供暖,有,民水,有,海淀
BJ2850013618295283712,26000,整租,519m,3室2厅2卫,138,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2886903387637686272,13500,整租,751m,1室1厅1卫,72,东,中楼层,租用车位,商电,集中供暖,有,民水,有,海淀
BJ2894924045487448064,13800,整租,202m,1室1厅1卫,74,东,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ1570771286290857984,9800,整租,39m,1室1厅1卫,52.81,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2830462743101325312,10000,整租,534m,2房间0卫,54,西北,低楼层,租用车位,商电,集中供暖,有,商水,有,亦庄开发区
BJ2848396330567737344,27000,整租,932m,3室1厅2卫,146,东南,高楼层,租用车位,民电,自采暖,有,民水,有,海淀
BJ1567497072494510080,9000,整租,378m,1室0厅1卫,48.73,北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2896471237586845696,7500,整租,74m,4房间2卫,40.7,东,高楼层,租用车位,民电,集中供暖,有,民水,无,昌平
BJ2904278721572126720,3500,整租,676m,1室0厅1卫,19,东,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2899310691276300288,7800,整租,,1室1厅1卫,42.4,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2899159356451340288,5500,整租,656m,1室1厅1卫,30,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1570321561670385664,8800,整租,378m,1室0厅1卫,48,北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1567187697192140800,9500,整租,205m,2室1厅1卫,52,南,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2904437404758704128,8500,整租,486m,1室0厅1卫,46.6,西,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2868030532741242880,31000,整租,1040m,3室2厅2卫,170,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2889730544340303872,18000,整租,888m,2室1厅1卫,98.86,东,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2881946240890191872,26000,整租,96m,3室1厅2卫,142.81,西北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567798100024623104,32000,整租,537m,3室2厅2卫,176,东北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1565971401150562304,9000,整租,484m,2室1厅1卫,49.7,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1573904538774011904,15000,整租,762m,2室1厅1卫,83,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1569294575468544000,13000,整租,440m,1室1厅1卫,71.95,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2895699071849742336,39600,整租,74m,未知室1厅1卫,220,南/北,中楼层,租用车位,商电,集中供暖,有,商水,无,东城
BJ2870909727377211392,34000,整租,226m,1室1厅2卫,188.91,东,中楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ2861639854952030208,27000,整租,897m,4房间1卫,150.62,东,低楼层,租用车位,商电,集中供暖,有,民水,有,房山
BJ2881110382003896320,10000,整租,217m,2室1厅1卫,55.8,东北,中楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ2821600417564065792,12500,整租,704m,3室1厅1卫,69.9,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ2873046925811392512,10500,整租,,3房间2卫,58.77,东,中楼层,租用车位,民电,自采暖,有,民水,无,海淀
BJ1566365042796920832,23500,整租,45m,1室0厅0卫,132,西/北,高楼层,租用车位,民电,集中供暖,有,民水,无,东城
BJ2754404387236888576,12800,整租,552m,4房间1卫,72,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570735193239584768,17500,整租,888m,2室1厅1卫,99,西,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2694938729386352640,12000,整租,32m,3房间1卫,68,北,高楼层,租用车位,民电,自采暖,有,民水,无,朝阳
BJ2905799842397683712,18000,整租,,2室2厅2卫,102,南/北,高楼层,租用车位,民电,集中供暖,有,商水,有,海淀
BJ2892723102994153472,15000,整租,,3室1厅1卫,85.13,东/西,低楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2810297537628741632,12500,整租,,3室1厅1卫,71,东/西南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2906548813651525632,19700,整租,661m,2室1厅1卫,112,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570774656883884032,21500,整租,220m,2房间1卫,123,西,中楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ1569313540022468608,4500,整租,676m,1室0厅1卫,25.75,南,中楼层,租用车位,民电,集中供暖,有,民水,无,西城
BJ1570752998265585664,31000,整租,888m,4室2厅2卫,178,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1570767773070524416,12500,整租,440m,1室1厅1卫,72.13,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570374397775052800,15000,整租,614m,1室1厅1卫,86.64,北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2894145599912026112,9200,整租,831m,1室1厅1卫,53.3,南,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2836073568335298560,50000,整租,,5室3厅4卫,291.11,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1574256029867180032,23000,整租,718m,3室2厅2卫,134.2,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567393143987372032,30000,整租,519m,3室2厅2卫,175.09,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,海淀
BJ1569249795481010176,4100,整租,676m,1室0厅1卫,23.94,南,高楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2832540512106315776,15000,整租,565m,2室1厅1卫,88,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2881247836400525312,15000,整租,400m,2室1厅1卫,88,东,低楼层,租用车位,民电,自采暖,有,民水,有,西城
BJ1574374076246392832,16500,整租,940m,2室1厅1卫,96.87,东北,低楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2893462809524305920,12500,整租,202m,1室1厅1卫,73.45,东,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2855817711110324224,18500,整租,918m,1房间0卫,108.75,东南,中楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ2899175138862317568,19000,整租,835m,1室0厅0卫,111.95,东,中楼层,租用车位,商电,集中供暖,有,民水,无,海淀
BJ2896238202543415296,8700,整租,433m,2室1厅1卫,51.3,南,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1570272660007419904,20000,整租,199m,3室1厅1卫,118.06,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2847033215624429568,70000,整租,,5室3厅3卫,414,东/南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2884625146252107776,12000,整租,837m,1室1厅1卫,71,东北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2883309494832463872,9800,整租,45m,1室0厅1卫,58,南,中楼层,租用车位,民电,集中供暖,有,民水,无,东城
BJ2881714443719278592,13500,整租,,2室1厅1卫,80,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ2893705814471098368,5500,整租,665m,1室0厅1卫,32.63,南,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2874647190797041664,6200,整租,676m,1室1厅2卫,36.93,东,中楼层,租用车位,民电,集中供暖,有,民水,无,西城
BJ2894069003507482624,13000,整租,308m,3室1厅1卫,77.5,东南,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2867441590090612736,8700,整租,606m,2室1厅1卫,51.9,南,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2879588453396791296,90000,整租,203m,8室3厅5卫,537,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1564867555972087808,55000,整租,,4室2厅5卫,330,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2830407683122151424,10000,整租,1056m,1室1厅1卫,60,南,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2896369829004967936,30000,整租,734m,3室1厅2卫,180,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2865918545546444800,8500,整租,186m,1室1厅1卫,51,东,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569186105197068288,8500,整租,203m,1室0厅1卫,51.12,东北,高楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1565567143624310784,13300,整租,,2室1厅1卫,80,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1569881839101804544,11000,整租,702m,1室1厅1卫,66.21,北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2865785837482942464,8300,整租,835m,2室1厅1卫,50,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2893492825205514240,19900,整租,615m,3室2厅2卫,120,东南/西北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567516267588354048,6500,整租,204m,1房间1卫,39.27,西南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567074507695325184,12000,整租,79m,1室1厅1卫,72.5,西北,高楼层,租用车位,民电,自采暖,有,民水,无,海淀
BJ1571849410294317056,14888,整租,84m,2室1厅1卫,90,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2848600266100441088,9500,整租,704m,2室1厅1卫,57.5,南,高楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ1570254221276610560,7600,整租,416m,2房间2卫,46,南,中楼层,租用车位,商电,集中供暖,有,民水,无,丰台
BJ2894867477026840576,28000,整租,835m,4室0厅0卫,169.62,西,低楼层,租用车位,商电,集中供暖,有,商水,无,海淀
BJ2894127725306445824,16500,整租,661m,2室1厅1卫,100,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2902784836039081984,29000,整租,741m,4室2厅3卫,176,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2852223818087538688,6400,整租,186m,1室1厅1卫,39,南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571034751035244544,12000,整租,440m,2室1厅1卫,73.14,西,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572141466988314624,90000,整租,,10房间0卫,550,东南/西南,低楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ1573933840974479360,10500,整租,205m,2室1厅1卫,64.3,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2790428979977797632,38000,整租,560m,2室2厅3卫,233,西/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2894160375069556736,6500,整租,74m,3房间1卫,40,西,高楼层,租用车位,商电,集中供暖,有,商水,无,昌平
BJ1567388495696101376,6500,整租,1093m,1室1厅1卫,40,南,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1574431039084822528,9000,整租,433m,2室1厅1卫,55.4,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1568867246195867648,18000,整租,835m,1室1厅1卫,111,东,高楼层,租用车位,商电,集中供暖,有,民水,无,海淀
BJ1571003667048300544,10000,整租,292m,1室1厅1卫,61.9,西北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571083297352581120,10500,整租,205m,2室1厅1卫,65,南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2897796173123559424,10000,整租,202m,1室0厅1卫,61.98,东,中楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2852077500505530368,16600,整租,655m,2室1厅1卫,103,南,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2852939924980629504,39000,整租,,4室2厅3卫,242.23,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1572091587196878848,23000,整租,292m,3室1厅2卫,143,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2874052680634859520,6300,整租,630m,1室1厅1卫,39.2,东,中楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ2865840204991184896,4600,整租,425m,1室0厅1卫,28.66,北,中楼层,租用车位,民电,集中供暖,有,民水,无,东城
BJ2905895650845794304,8000,整租,,2室1厅1卫,50,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ2881258986437345280,5200,整租,,3房间2卫,32.62,东,高楼层,租用车位,商电,自采暖,有,民水,有,海淀
BJ2853478539188518912,7000,整租,178m,1室0厅1卫,44,北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2838296586441211904,24000,整租,,2室2厅2卫,151,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2904325584572121088,4000,整租,676m,1室0厅1卫,25.26,南,中楼层,免费使用,民电,集中供暖,有,民水,无,西城
BJ2902824798830993408,6800,整租,346m,1室1厅1卫,43,南,低楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ2898687557523488768,8300,整租,494m,1房间1卫,53,南,高楼层,租用车位,商电,集中供暖,有,商水,无,朝阳
BJ2863789586118098944,19000,整租,205m,3室2厅1卫,121.4,西南,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2875562960670441472,13500,整租,704m,3室1厅1卫,86.3,东/北,高楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2900901925891342336,6300,整租,500m,1室1厅1卫,40.37,西南,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2893362283583913984,7200,整租,604m,1室0厅1卫,46.3,西,高楼层,租用车位,民电,集中供暖,有,民水,无,朝阳
BJ1567093208209424384,11500,整租,300m,2室1厅1卫,74,东北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2886122065960902656,65000,整租,,5室2厅5卫,420,东/南/西/北,低楼层,免费使用,民电,自采暖,无,民水,有,朝阳
BJ1575061747344080896,10500,整租,932m,2室1厅1卫,68,北,中楼层,租用车位,民电,自采暖,有,民水,有,海淀
BJ2855636653484015616,7500,整租,704m,1室1厅1卫,48.6,西,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1568837703716306944,6600,整租,404m,1室1厅1卫,42.8,东,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1565530850622177280,6200,整租,74m,3房间1卫,40.27,东,中楼层,租用车位,商电,集中供暖,有,商水,无,昌平
BJ1570258341244960768,10000,整租,702m,1室0厅1卫,64.97,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571098065832509440,13000,整租,900m,2房间1卫,84.5,东北,低楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ1569989309811916800,7500,整租,683m,1室0厅1卫,48.83,北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2899098412937125888,31000,整租,702m,3室2厅2卫,202.06,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1570795553036435456,6500,整租,,1室1厅1卫,42.39,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ1571101906300829696,11500,整租,383m,2室1厅1卫,75.01,西北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2904488412184846336,7500,整租,718m,2室1厅1卫,49,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,西城
BJ1569607705218252800,13000,整租,84m,2室1厅1卫,85,北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567494118995656704,11600,整租,266m,1室1厅1卫,76,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2883326440207040512,13500,整租,650m,2室1厅1卫,88.67,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1567500494933327872,26000,整租,648m,3室2厅2卫,170.78,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2893665537198391296,13000,整租,补294,2室1厅1卫,85.55,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571049295501590528,7500,整租,312m,1室1厅1卫,49.45,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2902812593926447104,9400,整租,202m,1室0厅1卫,61.98,东,高楼层,租用车位,民电,集中供暖,有,民水,有,东城
BJ2896450043484061696,38000,整租,840m,3室2厅3卫,251,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,朝阳
BJ1571387962669662208,13000,整租,88m,3室1厅1卫,85.88,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2902183615629115392,13000,整租,84m,2室2厅1卫,86,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1573323074697166848,8000,整租,484m,2室1厅1卫,53,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2901592818139545600,9000,整租,84m,1室0厅1卫,59.7,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2892671993210216448,15000,整租,835m,1室0厅0卫,100,西,中楼层,租用车位,民电,集中供暖,有,民水,无,海淀
BJ2903639905391345664,9000,整租,125m,2室1厅1卫,60,南/北,高楼层,租用车位,商电,集中供暖,有,商水,有,海淀
BJ1574299612410281984,10800,整租,,2室1厅1卫,72,东/西北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ1570019399081918464,9000,整租,976m,1室1厅1卫,60,东北,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1571002637388611584,18000,整租,,3室1厅2卫,120,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2904226443162820608,7600,整租,976m,1室1厅1卫,50.69,北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2866025002853990400,13200,整租,,2室1厅1卫,88.08,南,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2870197086849073152,19000,整租,,3室2厅2卫,127,西北,高楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2849855959533363200,10800,整租,781m,2室1厅1卫,72.4,西北,高楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ2806560424458731520,5800,整租,835m,1室0厅0卫,38.91,南,中楼层,租用车位,商电,集中供暖,有,民水,无,海淀
BJ2896993377113341952,9000,整租,,1室1厅1卫,60.41,西北,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2891147742586085376,7500,整租,,1室0厅1卫,50.4,西,低楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1567415647191695360,6500,整租,383m,1室1厅1卫,43.79,南,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571028109933674496,35000,整租,226m,3室1厅1卫,236,东南/西北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2862369185093664768,5600,整租,714m,1室0厅1卫,37.83,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1571351920956669952,6500,整租,,1室1厅1卫,44,南,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ1574700343994875904,6200,整租,847m,1室1厅1卫,42,南,中楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2818149864678883328,52000,整租,690m,4室2厅3卫,353,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2872526655308701696,28000,整租,772m,4室2厅3卫,190.16,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ2893504752455794688,12500,整租,900m,2房间1卫,85,西南,低楼层,租用车位,商电,集中供暖,有,商水,有,朝阳
BJ1567817433496944640,7500,整租,186m,2室1厅1卫,51,东,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1572889823386009600,13500,整租,383m,2室2厅1卫,92,南/西,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1568963047731494912,8800,整租,84m,1室0厅1卫,60,北,中楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1564931791356166144,20000,整租,664m,2室1厅1卫,136.67,东南,高楼层,租用车位,民电,集中供暖,有,民水,无,通州
BJ2894848179184861184,9300,整租,825m,2室1厅1卫,63.59,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,海淀
BJ2646340056054235136,52000,整租,690m,4室2厅3卫,356,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ2831718324403183616,12000,整租,548m,3室1厅1卫,82.2,东/南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,西城
BJ1569554210897264640,18500,整租,1183m,2室2厅2卫,126.75,东/西,低楼层,租用车位,民电,集中供暖,有,民水,有,朝阳
BJ1574045482961862656,7500,整租,825m,1室1厅1卫,51.43,东,高楼层,租用车位,民电,集中供暖,无,民水,有,海淀
BJ2904214476822167552,8800,整租,442m,3室0厅1卫,60.46,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,海淀
